Nameservice Startzeit: 09.11 14:10:08,923| mit PID <0.40.0> registriert mit Namen 'nameservice'.
Nameservice Startzeit: 09.11 14:12:01,931| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 09.11 14:12:12,696| von <7240.38.0> (chef):{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:12:22,212| von <7242.38.0>:{chef,koordinator@BlueHorst.localdomain}.
bind um 09.11 14:12:25,769| von <7242.53.0> ('3241'):{'3241',clients@BlueHorst.localdomain}.
bind um 09.11 14:12:25,769| von <7242.56.0> ('3211'):{'3211',clients@BlueHorst.localdomain}.
bind um 09.11 14:12:25,769| von <7242.55.0> ('3221'):{'3221',clients@BlueHorst.localdomain}.
bind um 09.11 14:12:25,769| von <7242.51.0> ('3261'):{'3261',clients@BlueHorst.localdomain}.
bind um 09.11 14:12:25,769| von <7242.54.0> ('3231'):{'3231',clients@BlueHorst.localdomain}.
bind um 09.11 14:12:25,769| von <7242.52.0> ('3251'):{'3251',clients@BlueHorst.localdomain}.
lookup um 09.11 14:12:25,769| von <7242.53.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:12:25,769| von <7242.56.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:12:25,769| von <7242.55.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:12:25,769| von <7242.51.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:12:25,769| von <7242.54.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:12:25,769| von <7242.52.0>:{chef,koordinator@BlueHorst.localdomain}.
Nameservice Startzeit: 09.11 14:14:06,177| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 09.11 14:14:18,149| von <7240.38.0> (chef):{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:14:28,024| von <7242.38.0>:{chef,koordinator@BlueHorst.localdomain}.
bind um 09.11 14:14:31,581| von <7242.55.0> ('3221'):{'3221',clients@BlueHorst.localdomain}.
bind um 09.11 14:14:31,581| von <7242.53.0> ('3241'):{'3241',clients@BlueHorst.localdomain}.
bind um 09.11 14:14:31,581| von <7242.56.0> ('3211'):{'3211',clients@BlueHorst.localdomain}.
bind um 09.11 14:14:31,581| von <7242.52.0> ('3251'):{'3251',clients@BlueHorst.localdomain}.
bind um 09.11 14:14:31,581| von <7242.54.0> ('3231'):{'3231',clients@BlueHorst.localdomain}.
